job_id,title,company,location,description,requirements,experience_years
J001,Machine Learning Engineer,TechNova,"Bengaluru, India","Build and deploy machine learning models for business applications. Work with structured and unstructured data, model evaluation, feature engineering and NLP pipelines.","Python, Machine Learning, Scikit-learn, Pandas, NumPy, SQL, NLP, Git, Docker",2
J002,Data Scientist,InsightWorks,"Chennai, India","Analyze large datasets, build predictive models, communicate insights and perform statistical analysis. Experience with experimentation and visualization is valuable.","Python, Machine Learning, Scikit-learn, Pandas, NumPy, SQL, Statistics, Data Analysis, Data Visualization, Tableau",1
J003,NLP Engineer,LanguageAI Labs,"Hyderabad, India","Develop natural language processing applications including text classification, information extraction, semantic search and transformer-based systems.","Python, NLP, Natural Language Processing, Transformers, BERT, Hugging Face, Machine Learning, PyTorch, Git",2
J004,AI/ML Intern,FutureAI,"Coimbatore, India","Assist with data preparation, model training, evaluation and experimentation. Work with Python and common machine learning libraries.","Python, Machine Learning, Scikit-learn, Pandas, NumPy, Git, SQL",0
J005,Data Analyst,MarketPulse,"Pune, India","Create dashboards and reports, clean datasets, perform exploratory analysis and communicate business findings to stakeholders.","Python, SQL, Excel, Power BI, Tableau, Data Analysis, Data Visualization, Statistics",1
J006,Backend Python Developer,CloudStack Solutions,"Bengaluru, India","Develop REST APIs and backend services using Python frameworks. Work with databases, testing, Git and containerized deployments.","Python, Django, Flask, FastAPI, REST API, PostgreSQL, MySQL, Docker, Git, PyTest",2
J007,Computer Vision Engineer,VisionForge,"Hyderabad, India","Create computer vision pipelines for image classification, object detection and image preprocessing.","Python, Computer Vision, OpenCV, Deep Learning, PyTorch, TensorFlow, NumPy, Git",2
J008,Cloud Data Engineer,DataCloud Systems,"Mumbai, India","Build scalable data pipelines, ETL workflows and cloud data infrastructure. Process large datasets and automate data workflows.","Python, SQL, AWS, Amazon S3, Docker, Airflow, Spark, PySpark, ETL, Data Engineering, Git",3
J009,Full Stack Developer,WebOrbit,"Chennai, India","Build responsive web applications and backend services. Collaborate across frontend, backend and database components.","JavaScript, TypeScript, React, Node.js, HTML, CSS, SQL, MongoDB, REST API, Git",2
J010,MLOps Engineer,ModelOps,"Bengaluru, India","Automate machine learning deployment, monitoring and CI/CD workflows. Maintain reproducible model environments and cloud infrastructure.","Python, Machine Learning, Docker, Kubernetes, AWS, Git, CI/CD, Jenkins, Linux, Scikit-learn",3
J011,Generative AI Developer,GenAIWorks,"Remote, India","Build LLM-powered applications, retrieval workflows and AI assistants. Integrate models into production applications.","Python, Generative AI, Large Language Models, LLM, LangChain, Hugging Face, NLP, REST API, Git",1
J012,Business Intelligence Analyst,EnterpriseIQ,"Delhi, India","Transform business data into dashboards, reports and decision-support insights. Work with SQL, spreadsheets and BI tools.","SQL, Excel, Power BI, Tableau, Data Analysis, Data Visualization, Statistics",2
J013,Software Engineer - Java,CodeGrid,"Bengaluru, India",Design and implement backend software components and APIs with strong object-oriented programming and testing practices.,"Java, Spring Boot, SQL, REST API, OOP, Object Oriented Programming, Git, Unit Testing",2
J014,DevOps Engineer,InfraWorks,"Pune, India","Build and maintain CI/CD pipelines, container infrastructure and cloud environments. Improve deployment automation and reliability.","Linux, Docker, Kubernetes, AWS, Git, CI/CD, Jenkins, Python, Agile",2
J015,Data Science Intern,AnalyticsHub,"Chennai, India","Support data cleaning, visualization, feature engineering and introductory predictive modeling projects.","Python, Pandas, NumPy, Scikit-learn, Data Analysis, Data Visualization, Machine Learning, SQL",0
